Time(s)	Temp(K)	mass27.8653
84.34682440757751	525.76	857.0465156605853
84.52583456039429	526.77	821.9703349390498
84.71984577178955	527.68	840.9476440440201
84.87785458564758	528.09	846.7045190208297
85.03486371040344	528.54	833.063782073566
85.1938726902008	529.53	838.7569748050571
85.38088345527649	530.44	852.7543323261053
85.54089260101318	530.87	830.0070342982688
85.69790148735046	531.38	855.1742576482155
85.85491061210632	532.31	821.9575984899863
86.03992128372192	533.34	816.9012282116821
86.20293068885803	533.81	828.78433518815
86.36093974113464	534.31	843.2656777736204
86.51894855499268	535.35	828.7461258409587
86.69995903968811	536.37	857.7470203590908
86.86296820640564	536.83	847.6597527006102
87.02097725868225	537.34	829.8414604604403
87.18598675727844	538.44	842.4887543807323
87.3619966506958	539.46	850.7674462721623
87.52100586891174	540.01	839.6612626885825
87.67801475524902	540.57	861.8863663048058
87.83502388000488	541.63	836.8465074454963
88.02103447914124	542.73	834.0190157533464
88.17704343795776	543.28	845.6091844013481
88.33405256271362	543.78	848.8569789126014
88.4910614490509	544.9	814.6468767274004
88.67807197570801	545.92	858.2437418725767
88.83608102798462	546.42	837.7507953290217
88.99309015274048	546.98	856.5625305961631
89.1530990600586	548.09	840.412713183343
89.34311008453369	549.07	843.6095618983413
89.5011191368103	549.61	841.2023730252948
89.65912818908691	550.11	843.8388179814887
89.81713724136353	551.17	837.9418420649777
89.99814748764038	552.24	858.5239437519789
90.16015672683716	552.69	851.7863621972613
90.31916618347168	553.25	846.5644180811285
90.47717499732971	554.21	854.5883809912837
90.66118550300598	555.29	846.7554648170847
90.82019448280334	555.81	828.6569706975125
90.97920370101929	556.36	843.9916553702534
91.1372127532959	557.36	819.3593628809834
91.32022309303284	558.37	828.3512959199828
91.4772322177887	558.85	848.9461340560476
91.63424110412598	559.4	829.8159875623128
91.79124999046326	560.49	838.604137416292
91.97926092147827	561.52	864.1534542381511
92.13627004623413	562.02	820.6966900326761
92.29327893257141	562.57	844.93415260097
92.45228791236877	563.61	829.3192660488269
92.63829851150513	564.68	834.8850942896806
92.79630756378174	565.15	834.8468849424894
92.95431661605835	565.7	826.4790379076132
93.11132550239563	566.79	839.7249449339012
93.29933643341064	567.86	839.7758907301561
93.4633457660675	568.41	857.9253306459832
93.62235474586487	569.45	828.924436127851
93.78536415100098	569.94	832.7708437451
93.963374376297	570.99	847.6597527006102
94.11938309669495	571.51	829.2301109053808
94.27839255332947	572.0	860.9566055231528
94.43740153312683	573.04	819.9579759869792
94.6214120388031	574.13	820.5056432967201
94.7814211845398	574.61	838.3876177822086
94.94043016433716	575.1	834.6940475537244
95.09743928909302	576.16	827.472480934585
95.28144979476929	577.16	837.8017411252767
95.44245910644531	577.74	847.7871171912475
95.60046792030334	578.23	821.6264508143289
95.7574770450592	579.22	849.5447471620433
95.94048762321472	580.25	841.7882496822267
96.10249662399292	580.75	819.4485180244297
96.26050567626953	581.29	853.1491622470813
96.41751456260681	582.34	811.793912137123
96.60152530670166	583.38	817.3852132761042
96.7605345249176	583.92	850.3598799021227
96.91954350471497	584.41	823.8425929514194
97.07655262947083	585.48	846.4370535904912
97.2605631351471	586.54	849.0352891994938
97.42057204246521	587.6	829.8287240113765
97.72558975219727	588.71	857.40313623437
97.90859985351562	589.23	846.0040143223241
98.07860970497131	590.29	862.9052822299047
98.2356185913086	590.78	831.3698343480887
98.39262771606445	591.75	864.3954467703622
98.56863784790039	592.27	825.4091761862592
98.73964762687683	593.22	853.5312557189935
98.8986566066742	593.71	833.8279690173903
99.0566656589508	594.68	850.48724439276
99.228675365448	595.1	842.7307469129432
99.39868521690369	596.05	835.6110718863138
99.5566942691803	596.48	840.2853486927056
99.71470332145691	597.35	839.8523094245385
99.88871335983276	597.84	829.9815614001412
100.0597231388092	598.78	847.0356666964869
100.21673202514648	599.27	818.1239273218009
100.37374091148376	600.2	851.4806874197316
100.54975128173828	600.77	817.8946712386536
100.72276091575623	601.81	840.5146047758528
100.88077020645142	602.29	818.8753778165615
101.04277920722961	603.4	855.1615211991519
101.20678877830505	603.9	838.22204394438
101.3777985572815	604.95	833.6623951795617
101.53580737113953	605.48	826.6700846435695
101.69281649589539	606.65	866.2167589864769
101.86682629585266	607.2	823.3586078869974
102.03683614730835	608.26	822.4543200034719
102.19584536552429	608.85	845.3417189710096
102.35285425186157	609.92	822.9637779660214
102.52686429023743	610.47	836.8974532417512
102.69587397575378	611.57	840.7183879608727
102.85288286209106	612.05	843.6477712455325
103.01189184188843	613.1	828.9881183731696
103.18790221214294	613.65	842.6288553204336
103.35991191864014	614.68	859.9122166999264
103.51592087745667	615.22	829.4466305394643
103.67292976379395	616.24	834.6303653084059
103.8489396572113	616.65	819.9325030888518
104.01894950866699	617.69	834.0954344477287
104.17595839500427	618.23	838.8333934994395
104.33396744728088	619.25	824.250159321459
104.50897765159607	619.79	847.4941788627814
104.67998743057251	620.79	836.2988401357554
104.83899641036987	621.32	839.1645411750966
104.99700546264648	622.32	832.8599988885461
105.16801524162292	622.85	823.9190116458018
105.33902502059937	623.85	847.3922872702716
105.49603390693665	624.39	827.6125818742861
105.65404295921326	625.44	838.1583616990613
105.82905316352844	625.92	823.6260733173359
105.9980628490448	627.0	822.7854676791292
106.15607190132141	627.48	841.8901412747367
106.31408071517944	628.57	822.9765144150851
106.4880907535553	629.16	823.868065849547
106.66010046005249	630.18	837.3559654080458
106.8181095123291	630.71	843.6732441436599
106.97711873054504	631.75	845.4181376653921
107.14812850952148	632.33	820.161759171999
107.31913828849792	633.38	840.9985898402749
107.47614741325378	633.91	835.4582344975487
107.63515639305115	634.98	839.5721075451362
107.80816626548767	635.49	844.5520591290581
107.97917604446411	636.58	826.0714715375735
108.13718509674072	637.05	846.5644180811285
108.29519391059875	638.13	830.2108174832886
108.46820402145386	638.65	832.6307428053989
108.63721370697021	639.71	836.5663055660941
108.79522275924683	640.19	829.077273516616
108.95323181152344	641.26	839.6739991376462
109.12724161148071	641.76	833.8916512627089
109.29525136947632	642.77	831.1023689177503
109.4522602558136	643.3	840.6674421646178
109.61026930809021	644.31	830.3763913211172
109.78827953338623	644.84	841.7627767840992
109.960289478302	645.89	833.9043877117728
110.11629843711853	646.42	820.2127049682541
110.27330732345581	647.48	846.1950610582803
110.44731712341309	648.0	820.1999685191904
110.61732697486877	649.05	842.6161188713698
110.77533602714539	649.58	843.5076703058314
110.93234491348267	650.62	824.3138415667778
111.1083550453186	651.19	830.7584847930294
111.27836489677429	652.21	834.7449933499794
111.43637371063232	652.74	857.887121298792
111.59238266944885	653.82	833.0255727263748
111.76839280128479	654.37	846.4243171414275
111.9384024143219	655.45	845.6473937485393
112.09641146659851	655.98	827.561636078031
112.25442051887512	656.97	854.4228071534552
112.42843055725098	657.49	817.347003928913
112.59844040870667	658.5	853.3147360849098
112.7564492225647	659.03	841.4188926593783
112.91545844078064	660.11	839.8013636282834
113.08946824073792	660.66	847.0993489418056
113.25747799873352	661.62	830.6948025477107
113.41548681259155	662.15	826.1860995791473
113.57249593734741	663.15	837.0630270795798
113.74850606918335	663.72	831.1660511630689
113.91851592063904	664.76	854.2699697646902
114.07652473449707	665.28	824.3265780158416
114.23353385925293	666.35	830.6438567514556
114.4075436592102	666.89	820.9896283611421
114.57655334472656	667.99	836.8337709964326
114.73356223106384	668.52	858.371106363214
114.88957118988037	669.52	837.4069112043007
115.06858158111572	670.1	860.8674503797067
115.23859143257141	671.16	847.5069153118451
115.39660024642944	671.69	817.3724768270405
115.5536093711853	672.75	857.4286091324973
115.72861909866333	673.3	832.5415876619527
115.89862895011902	674.38	843.9279731249347
116.05663800239563	674.9	829.8924062566952
116.21364688873291	675.91	835.1525597200191
116.3886570930481	676.43	838.9607579900768
116.55866694450378	677.51	819.486727371621
116.71567583084106	677.99	838.6932925597383
116.87268471717834	678.99	852.868960367679
117.0486946105957	679.53	842.3868627882224
117.22170448303223	680.55	842.5651730751148
117.37871384620667	681.08	828.5041333087477
117.5367226600647	682.16	858.7277269369987
117.70773243904114	682.64	831.4462530424713
117.87874221801758	683.66	832.0830754956581
118.03675127029419	684.18	841.8009861312904
118.1947603225708	685.27	828.045621142453
118.36877012252808	685.77	849.0480256485577
118.53877997398376	686.84	836.2478943395006
